Volatility 3 Framework 2.26.2

Offset(Virtual)	Name	PID	pslist	psscan	thrdscan	csrss	Exit Time
0x9a08bfec1080	svchost.exe	5428	True	True	True	True	
0x9a08c0171080	msedge.exe	6140	True	True	True	True	
0x9a08c01e5080	msedge.exe	5324	True	True	True	True	
0x9a08ba77d080	SearchProtocol	9756	False	True	True	False	2025-07-23 11:16:04+00:00
0x9a08bf6d8300	svchost.exe	7104	True	True	True	True	
0x9a08baf47080	FTK Imager.exe	8256	False	True	False	False	2025-07-23 11:14:40+00:00
0x9a08bf6d7340	explorer.exe	3892	True	True	True	True	
0x9a08bd85d140	csrss.exe	424	True	True	True	False	
0x9a08be173140	csrss.exe	500	True	True	True	False	
0x9a08be88b140	fontdrvhost.ex	672	True	True	True	True	
0x9a08be893140	fontdrvhost.ex	716	True	True	True	True	
0x9a08bf378340	svchost.exe	3240	True	True	True	True	
0x9a08bf6c7340	userinit.exe	3872	True	True	False	False	2025-07-23 11:06:35+00:00
0x9a08c0395340	WmiPrvSE.exe	6976	True	True	True	True	
0x9a08bd4530c0	SystemSettings	3788	True	True	True	True	
0x9a08bfc48240	SecurityHealth	5836	True	True	True	True	
0x9a08bd72c240	svchost.exe	3276	True	True	True	False	2025-07-23 11:09:07+00:00
0x9a08bec972c0	svchost.exe	1756	True	True	True	True	
0x9a08beceb2c0	svchost.exe	1852	True	True	True	True	
0x9a08bedeb2c0	svchost.exe	1784	True	True	True	True	
0x9a08bfd132c0	RuntimeBroker.	5048	True	True	True	True	
0x9a08c08f32c0	svchost.exe	8060	True	True	True	True	
0x9a08c0315080	msedge.exe	3208	True	True	True	True	
0x9a08c09e2180	svchost.exe	8196	True	True	True	True	
0x9a08c015a080	svchost.exe	2192	True	True	True	True	
0x9a08c03a6080	dllhost.exe	5480	True	True	True	True	
0x9a08c02ae080	SkypeApp.exe	7212	True	True	True	True	
0x9a08ba786080	ShellExperienc	8816	True	True	True	True	
0x9a08baf3a080	WmiPrvSE.exe	9144	True	True	True	True	
0x9a08bfa3c080	svchost.exe	956	True	True	True	True	
0x9a08baff6080	cmd.exe	6296	False	True	False	False	2025-07-23 11:13:58+00:00
0x9a08bd726080	conhost.exe	2552	False	True	False	False	2025-07-23 11:14:11+00:00
0xc20000182080	FTK Imager.exe	8024	False	True	False	False	
0x9a08bff21080	RuntimeBroker.	6764	True	True	True	True	
0x9a08c02540c0	msedge.exe	4028	True	True	True	True	
0x9a08bd9b80c0	WinRAR.exe	1340	True	True	True	True	
0x9a08bfbcc080	FTK Imager.exe	8024	True	True	True	True	
0x9a08bed042c0	svchost.exe	1860	True	True	True	True	
0x9a08beec82c0	svchost.exe	2316	True	True	True	True	
0x9a08bd9e82c0	RuntimeBroker.	7724	True	True	True	True	
0x9a08ba2682c0	svchost.exe	7064	True	True	True	True	
0x9a08c0158080	svchost.exe	5376	True	True	True	True	
